timestamp,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10
1,791.3552856445312,790.1465454101562,790.1465454101562,785.7142944335938
2,797.8021850585938,792.1611938476562,793.7728881835938,788.937744140625
3,801.025634765625,792.5640869140625,792.1611938476562,790.5494384765625
4,794.5787353515625,795.3846435546875,788.5347900390625,784.908447265625
5,792.5640869140625,794.981689453125,785.7142944335938,790.952392578125
6,796.5933837890625,791.7582397460938,790.5494384765625,792.967041015625
7,796.5933837890625,795.3846435546875,792.5640869140625,788.937744140625
8,794.1758422851562,799.4139404296875,782.4908447265625,794.5787353515625
9,801.4285888671875,796.996337890625,787.3259887695312,799.8168334960938
10,802.2344360351562,795.7875366210938,791.7582397460938,801.8314819335938
11,792.5640869140625,795.7875366210938,792.967041015625,797.8021850585938
12,793.7728881835938,793.3699340820312,797.3992919921875,799.4139404296875
13,793.7728881835938,789.3406372070312,794.981689453125,806.6666870117188
14,792.5640869140625,788.1318969726562,796.1904907226562,805.054931640625
15,795.3846435546875,785.3113403320312,798.2051391601562,799.4139404296875
16,800.6226806640625,787.7289428710938,796.996337890625,808.6813354492188
17,800.2197875976562,788.937744140625,795.7875366210938,815.5311279296875
18,775.6410522460938,787.7289428710938,798.2051391601562,790.5494384765625
19,765.5677490234375,791.7582397460938,801.025634765625,779.2673950195312
20,783.2966918945312,794.981689453125,799.8168334960938,798.6080322265625
21,786.923095703125,792.967041015625,798.2051391601562,799.8168334960938
22,786.5201416015625,792.967041015625,800.6226806640625,796.5933837890625
23,790.5494384765625,795.7875366210938,800.6226806640625,794.981689453125
24,787.7289428710938,794.5787353515625,802.2344360351562,787.3259887695312
25,783.2966918945312,787.7289428710938,803.4432373046875,786.1171875
26,779.6703491210938,782.087890625,801.4285888671875,785.3113403320312
27,785.7142944335938,782.893798828125,794.5787353515625,789.3406372070312
28,796.1904907226562,784.5054931640625,792.967041015625,791.7582397460938
29,789.7435913085938,784.1025390625,800.6226806640625,786.1171875
30,779.6703491210938,785.7142944335938,802.2344360351562,787.3259887695312
31,782.087890625,788.5347900390625,802.2344360351562,794.5787353515625
32,785.3113403320312,790.1465454101562,798.6080322265625,798.2051391601562
33,788.937744140625,792.1611938476562,793.3699340820312,792.5640869140625
34,788.937744140625,788.1318969726562,790.952392578125,790.1465454101562
35,786.5201416015625,785.7142944335938,793.7728881835938,786.5201416015625
36,790.5494384765625,786.5201416015625,795.3846435546875,791.3552856445312
37,794.1758422851562,792.967041015625,795.7875366210938,799.010986328125
38,795.3846435546875,796.1904907226562,802.6373901367188,799.8168334960938
39,799.4139404296875,788.937744140625,803.040283203125,806.2637329101562
40,798.2051391601562,782.4908447265625,799.4139404296875,811.098876953125
